created_date,quantity,positive,negative
2023-09-15,2,1,0
2023-09-16,8,6,0
2023-09-17,3,1,1
2023-09-18,4,2,1
2023-09-19,7,3,2
2023-09-20,6,4,0
2023-09-21,8,3,2
2023-09-22,8,7,1
2023-09-23,4,0,0
2023-09-24,7,6,0
2023-09-25,1,1,0
2023-09-26,7,0,5
2023-09-27,3,1,0
2023-09-28,6,3,3
2023-09-29,7,1,6
2023-09-30,2,1,0
2023-10-01,0,0,0
2023-10-02,7,1,4
2023-10-03,7,6,1
2023-10-04,8,6,1
2023-10-05,3,3,0
2023-10-06,7,7,0
2023-10-07,2,2,0
2023-10-08,8,7,1
2023-10-09,0,0,0
2023-10-10,8,4,0
2023-10-11,2,2,0
2023-10-12,6,1,2
2023-10-13,6,4,2
2023-10-14,8,2,2
2023-10-15,3,2,0
2023-10-16,8,0,7
2023-10-17,1,0,0
2023-10-18,1,1,0
2023-10-19,6,4,0
2023-10-20,3,2,1
2023-10-21,6,1,2
2023-10-22,0,0,0
2023-10-23,3,1,2
2023-10-24,1,0,0
2023-10-25,3,0,2
2023-10-26,7,5,2
2023-10-27,7,6,1
2023-10-28,7,1,2
2023-10-29,6,6,0
2023-10-30,3,3,0
2023-10-31,1,1,0
2023-11-01,8,3,3
2023-11-02,6,1,1
2023-11-03,6,5,1
2023-11-04,2,2,0
2023-11-05,3,1,0
2023-11-06,6,4,2
2023-11-07,8,7,0
2023-11-08,2,0,2
2023-11-09,6,6,0
2023-11-10,4,0,3
2023-11-11,2,2,0
2023-11-12,6,2,1
2023-11-13,6,0,6
2023-11-14,4,0,4
2023-11-15,0,0,0
2023-11-16,3,0,0
2023-11-17,8,8,0
2023-11-18,1,1,0
2023-11-19,8,1,0
2023-11-20,3,3,0
2023-11-21,8,1,4
2023-11-22,8,4,0
2023-11-23,4,1,0
2023-11-24,8,1,3
2023-11-25,8,8,0
2023-11-26,4,0,2
2023-11-27,2,2,0
2023-11-28,6,3,2
2023-11-29,7,2,0
2023-11-30,1,0,1
2023-12-01,3,3,0
2023-12-02,8,8,0
2023-12-03,2,2,0
2023-12-04,3,3,0
2023-12-05,2,0,0
2023-12-06,6,2,1
2023-12-07,1,0,0
2023-12-08,6,6,0
2023-12-09,3,0,2
2023-12-10,0,0,0
2023-12-11,1,1,0
2023-12-12,7,1,0
2023-12-13,4,1,0
2023-12-14,1,1,0
2023-12-15,1,1,0
2023-12-16,6,3,1
2023-12-17,1,1,0
2023-12-18,1,1,0
2023-12-19,6,6,0
2023-12-20,4,2,1
2023-12-21,7,0,3
2023-12-22,8,7,1
2023-12-23,8,7,0
2023-12-24,6,4,0
2023-12-25,6,4,0
2023-12-26,0,0,0
2023-12-27,1,1,0
2023-12-28,6,1,5
2023-12-29,6,3,3
2023-12-30,3,2,1
2023-12-31,2,1,0
2024-01-01,8,7,0
2024-01-02,2,0,1
2024-01-03,1,1,0
2024-01-04,4,3,1
2024-01-05,4,2,1
2024-01-06,8,3,0
2024-01-07,4,1,2
2024-01-08,7,4,1
2024-01-09,8,4,0
2024-01-10,8,8,0
2024-01-11,3,1,2
2024-01-12,2,1,0
2024-01-13,3,0,3
2024-01-14,6,4,2
2024-01-15,7,6,1
2024-01-16,6,2,4
2024-01-17,3,1,1
2024-01-18,8,6,1
2024-01-19,1,0,0
2024-01-20,6,4,1
2024-01-21,2,2,0
