created_date,quantity,positive,negative
2023-09-15,8,6,2
2023-09-16,11,2,5
2023-09-17,5,3,1
2023-09-18,6,2,0
2023-09-19,0,0,0
2023-09-20,9,5,3
2023-09-21,12,10,0
2023-09-22,8,3,2
2023-09-23,0,0,0
2023-09-24,7,6,1
2023-09-25,11,11,0
2023-09-26,8,2,3
2023-09-27,15,9,6
2023-09-28,12,2,8
2023-09-29,8,3,2
2023-09-30,8,5,2
2023-10-01,14,7,5
2023-10-02,8,1,2
2023-10-03,9,1,4
2023-10-04,11,2,4
2023-10-05,8,6,1
2023-10-06,7,2,3
2023-10-07,7,7,0
2023-10-08,12,1,1
2023-10-09,6,6,0
2023-10-10,8,2,3
2023-10-11,6,6,0
2023-10-12,14,6,4
2023-10-13,7,3,0
2023-10-14,10,10,0
2023-10-15,12,3,7
2023-10-16,7,0,4
2023-10-17,7,7,0
2023-10-18,10,6,0
2023-10-19,7,0,0
2023-10-20,7,2,2
2023-10-21,7,7,0
2023-10-22,10,3,5
2023-10-23,12,11,0
2023-10-24,7,1,4
2023-10-25,9,1,4
2023-10-26,9,8,1
2023-10-27,7,6,0
2023-10-28,0,0,0
2023-10-29,6,3,1
2023-10-30,7,0,7
2023-10-31,0,0,0
2023-11-01,6,6,0
2023-11-02,8,6,0
2023-11-03,6,6,0
2023-11-04,14,9,4
2023-11-05,7,1,3
2023-11-06,10,7,1
2023-11-07,13,1,9
2023-11-08,7,2,2
2023-11-09,15,6,6
2023-11-10,0,0,0
2023-11-11,11,6,1
2023-11-12,8,8,0
2023-11-13,9,8,0
2023-11-14,9,4,4
2023-11-15,14,9,5
2023-11-16,8,7,1
2023-11-17,13,9,0
2023-11-18,11,3,5
2023-11-19,6,3,0
2023-11-20,7,6,0
2023-11-21,6,6,0
2023-11-22,14,13,1
2023-11-23,11,8,1
2023-11-24,5,5,0
2023-11-25,7,6,0
2023-11-26,8,6,0
2023-11-27,8,3,3
2023-11-28,7,7,0
2023-11-29,6,6,0
2023-11-30,8,6,2
2023-12-01,6,5,0
2023-12-02,16,10,3
2023-12-03,10,4,6
2023-12-04,8,8,0
2023-12-05,7,6,0
2023-12-06,7,3,1
2023-12-07,6,3,0
2023-12-08,14,9,1
2023-12-09,11,11,0
2023-12-10,8,3,0
2023-12-11,7,7,0
2023-12-12,8,1,0
2023-12-13,11,1,6
2023-12-14,7,3,4
2023-12-15,9,9,0
2023-12-16,10,4,3
2023-12-17,14,3,8
2023-12-18,6,3,2
2023-12-19,7,3,3
2023-12-20,8,1,0
2023-12-21,8,8,0
2023-12-22,7,5,2
2023-12-23,13,2,1
2023-12-24,7,5,1
2023-12-25,12,2,5
2023-12-26,1,1,0
2023-12-27,5,4,0
2023-12-28,6,6,0
2023-12-29,12,11,0
2023-12-30,10,1,5
2023-12-31,6,6,0
2024-01-01,7,6,1
2024-01-02,8,1,2
2024-01-03,0,0,0
2024-01-04,4,0,1
2024-01-05,14,9,3
2024-01-06,6,3,2
2024-01-07,7,7,0
2024-01-08,5,5,0
2024-01-09,8,5,3
2024-01-10,8,7,0
2024-01-11,6,4,1
2024-01-12,7,7,0
2024-01-13,9,3,3
2024-01-14,8,6,0
2024-01-15,6,6,0
2024-01-16,9,2,4
2024-01-17,7,5,2
2024-01-18,8,5,0
2024-01-19,8,1,2
2024-01-20,6,2,0
2024-01-21,0,0,0
2024-01-22,8,8,0
2024-01-23,14,3,7
2024-01-24,7,2,4
2024-01-25,7,4,1
2024-01-26,8,6,0
2024-01-27,7,1,0
2024-01-28,13,11,2
2024-01-29,7,3,1
2024-01-30,6,6,0
2024-01-31,6,6,0
2024-02-01,7,6,0
2024-02-02,4,3,1
