created_date,quantity,positive,negative
2023-09-15,7,5,0
2023-09-16,11,3,6
2023-09-17,7,3,2
2023-09-18,8,4,1
2023-09-19,0,0,0
2023-09-20,8,2,2
2023-09-21,6,1,4
2023-09-22,6,1,3
2023-09-23,9,4,5
2023-09-24,5,3,0
2023-09-25,7,0,1
2023-09-26,8,5,0
2023-09-27,11,9,0
2023-09-28,6,4,2
2023-09-29,7,2,4
2023-09-30,8,8,0
2023-10-01,7,5,0
2023-10-02,6,2,0
2023-10-03,14,5,2
2023-10-04,6,4,1
2023-10-05,9,9,0
2023-10-06,9,2,2
2023-10-07,10,2,4
2023-10-08,7,0,3
2023-10-09,6,4,1
2023-10-10,0,0,0
2023-10-11,6,2,4
2023-10-12,8,1,6
2023-10-13,7,4,2
2023-10-14,6,2,3
2023-10-15,6,2,4
2023-10-16,6,0,6
2023-10-17,8,5,0
2023-10-18,0,0,0
2023-10-19,3,3,0
2023-10-20,6,6,0
2023-10-21,8,6,1
2023-10-22,12,10,0
2023-10-23,11,3,7
2023-10-24,7,7,0
2023-10-25,14,4,6
2023-10-26,13,11,0
2023-10-27,7,7,0
2023-10-28,6,0,0
2023-10-29,6,1,4
2023-10-30,6,1,0
2023-10-31,10,4,3
2023-11-01,13,4,1
2023-11-02,6,0,3
2023-11-03,6,4,1
2023-11-04,7,5,1
2023-11-05,10,7,2
2023-11-06,6,6,0
2023-11-07,5,5,0
2023-11-08,9,6,3
2023-11-09,6,0,0
2023-11-10,8,5,0
2023-11-11,6,6,0
2023-11-12,12,10,0
2023-11-13,8,6,0
2023-11-14,11,10,0
2023-11-15,11,4,1
2023-11-16,8,4,4
2023-11-17,11,9,0
2023-11-18,12,1,5
2023-11-19,8,5,1
2023-11-20,6,6,0
2023-11-21,13,9,0
2023-11-22,13,0,1
2023-11-23,9,2,0
2023-11-24,13,2,1
2023-11-25,7,6,0
2023-11-26,6,3,1
2023-11-27,7,4,1
2023-11-28,6,0,0
2023-11-29,5,4,1
2023-11-30,7,7,0
2023-12-01,13,6,1
2023-12-02,1,1,0
2023-12-03,7,2,3
2023-12-04,8,1,7
2023-12-05,8,0,0
2023-12-06,12,11,0
2023-12-07,7,3,0
2023-12-08,11,5,6
2023-12-09,8,0,1
2023-12-10,0,0,0
2023-12-11,7,7,0
2023-12-12,7,4,1
2023-12-13,6,6,0
2023-12-14,7,0,1
2023-12-15,2,2,0
2023-12-16,10,7,1
2023-12-17,12,3,8
2023-12-18,6,6,0
2023-12-19,11,0,3
2023-12-20,8,8,0
2023-12-21,12,2,1
2023-12-22,8,5,0
2023-12-23,8,4,4
2023-12-24,2,2,0
2023-12-25,0,0,0
2023-12-26,8,6,2
2023-12-27,6,6,0
2023-12-28,7,5,1
2023-12-29,9,5,4
2023-12-30,12,9,2
2023-12-31,4,4,0
2024-01-01,14,4,6
2024-01-02,8,8,0
2024-01-03,7,7,0
2024-01-04,14,2,9
2024-01-05,11,3,7
2024-01-06,10,6,1
2024-01-07,9,8,0
2024-01-08,11,10,1
2024-01-09,9,8,1
2024-01-10,7,7,0
2024-01-11,13,6,5
2024-01-12,8,3,4
2024-01-13,8,5,0
2024-01-14,7,7,0
2024-01-15,11,0,6
2024-01-16,6,6,0
2024-01-17,13,7,0
2024-01-18,9,0,0
2024-01-19,6,6,0
2024-01-20,12,3,2
2024-01-21,12,4,8
2024-01-22,7,6,0
2024-01-23,12,12,0
2024-01-24,12,9,2
2024-01-25,7,0,5
2024-01-26,9,8,0
2024-01-27,7,1,2
2024-01-28,6,6,0
2024-01-29,13,6,2
2024-01-30,10,8,0
2024-01-31,8,5,2
2024-02-01,11,4,3
2024-02-02,7,6,0
2024-02-03,5,5,0
2024-02-04,10,2,0
2024-02-05,13,3,5
2024-02-06,5,4,1
2024-02-07,8,1,3
2024-02-08,6,6,0
2024-02-09,7,3,2
2024-02-10,6,2,1
2024-02-11,8,3,2
2024-02-12,7,2,3
2024-02-13,10,4,6
2024-02-14,6,6,0
2024-02-15,11,5,4
2024-02-16,8,0,2
2024-02-17,8,3,5
2024-02-18,7,7,0
2024-02-19,1,1,0
2024-02-20,8,3,1
2024-02-21,8,8,0
2024-02-22,14,3,1
2024-02-23,7,1,4
2024-02-24,10,1,0
2024-02-25,6,6,0
2024-02-26,7,7,0
2024-02-27,7,5,2
2024-02-28,8,4,2
2024-02-29,8,7,1
2024-03-01,7,7,0
2024-03-02,0,0,0
2024-03-03,7,2,3
2024-03-04,8,8,0
2024-03-05,5,5,0
2024-03-06,8,7,1
2024-03-07,8,0,5
2024-03-08,7,2,0
2024-03-09,6,1,5
2024-03-10,8,0,4
2024-03-11,6,1,3
2024-03-12,7,2,0
2024-03-13,12,6,1
2024-03-14,7,1,3
2024-03-15,6,3,1
2024-03-16,11,2,3
2024-03-17,12,6,1
2024-03-18,6,5,1
2024-03-19,10,3,2
2024-03-20,8,3,0
2024-03-21,7,5,0
2024-03-22,6,3,3
2024-03-23,7,6,1
2024-03-24,10,3,0
2024-03-25,6,1,3
2024-03-26,8,7,1
2024-03-27,7,2,4
2024-03-28,9,9,0
2024-03-29,6,0,4
2024-03-30,9,0,0
2024-03-31,9,7,2
2024-04-01,7,5,0
2024-04-02,6,6,0
2024-04-03,11,3,7
2024-04-04,5,5,0
2024-04-05,7,0,2
2024-04-06,7,7,0
2024-04-07,13,9,1
2024-04-08,12,9,0
2024-04-09,12,11,1
