created_date,quantity,positive,negative
2023-05-30,8,7,0
2023-05-31,8,0,4
2023-06-01,6,6,0
2023-06-02,6,0,2
2023-06-03,1,1,0
2023-06-04,0,0,0
2023-06-05,2,2,0
2023-06-06,8,7,0
2023-06-07,6,4,0
2023-06-08,3,0,3
2023-06-09,8,3,0
2023-06-10,8,7,1
2023-06-11,0,0,0
2023-06-12,4,3,1
2023-06-13,7,6,1
2023-06-14,1,0,1
2023-06-15,6,6,0
2023-06-16,4,1,0
2023-06-17,8,1,3
2023-06-18,6,1,1
2023-06-19,3,3,0
2023-06-20,2,1,0
2023-06-21,3,3,0
2023-06-22,3,0,2
2023-06-23,0,0,0
2023-06-24,6,3,1
2023-06-25,8,8,0
2023-06-26,1,0,0
2023-06-27,2,2,0
2023-06-28,4,4,0
2023-06-29,4,0,3
2023-06-30,6,3,2
2023-07-01,7,6,1
2023-07-02,8,8,0
2023-07-03,8,3,5
2023-07-04,7,4,0
2023-07-05,7,0,3
2023-07-06,7,0,5
2023-07-07,7,3,2
2023-07-08,8,3,2
2023-07-09,2,1,0
2023-07-10,2,2,0
2023-07-11,8,1,4
2023-07-12,3,1,1
2023-07-13,3,3,0
2023-07-14,0,0,0
2023-07-15,2,0,0
2023-07-16,7,5,1
2023-07-17,3,0,0
2023-07-18,2,1,0
2023-07-19,7,1,4
2023-07-20,7,3,3
2023-07-21,6,4,0
2023-07-22,4,2,2
2023-07-23,0,0,0
2023-07-24,2,2,0
2023-07-25,8,6,0
2023-07-26,0,0,0
2023-07-27,7,0,2
2023-07-28,2,1,1
2023-07-29,2,0,1
2023-07-30,6,6,0
2023-07-31,1,1,0
2023-08-01,7,5,2
2023-08-02,7,0,1
2023-08-03,6,1,2
2023-08-04,6,6,0
2023-08-05,1,0,0
2023-08-06,4,1,2
2023-08-07,3,2,1
2023-08-08,1,1,0
2023-08-09,8,8,0
2023-08-10,6,2,3
2023-08-11,8,8,0
2023-08-12,7,6,1
2023-08-13,8,7,0
2023-08-14,6,4,2
2023-08-15,1,0,0
2023-08-16,0,0,0
2023-08-17,2,1,0
2023-08-18,3,0,3
2023-08-19,6,5,0
2023-08-20,6,6,0
2023-08-21,6,1,2
2023-08-22,8,5,3
2023-08-23,2,2,0
2023-08-24,7,5,2
2023-08-25,8,0,7
2023-08-26,3,1,1
2023-08-27,1,0,0
2023-08-28,1,1,0
2023-08-29,3,3,0
2023-08-30,1,1,0
2023-08-31,6,2,1
2023-09-01,6,4,1
2023-09-02,6,5,1
2023-09-03,1,1,0
2023-09-04,8,1,0
2023-09-05,4,0,0
2023-09-06,7,2,0
2023-09-07,8,2,2
2023-09-08,6,2,1
2023-09-09,8,1,5
2023-09-10,1,0,0
2023-09-11,1,1,0
2023-09-12,3,1,0
2023-09-13,8,4,0
2023-09-14,3,1,1
2023-09-15,7,2,2
2023-09-16,8,4,0
2023-09-17,7,5,1
2023-09-18,6,1,2
2023-09-19,7,1,6
2023-09-20,7,2,2
2023-09-21,4,1,0
2023-09-22,4,0,4
2023-09-23,3,3,0
2023-09-24,7,6,0
2023-09-25,0,0,0
2023-09-26,1,0,1
2023-09-27,4,1,3
2023-09-28,8,7,1
2023-09-29,6,4,2
2023-09-30,2,2,0
2023-10-01,2,2,0
2023-10-02,8,7,0
2023-10-03,2,2,0
2023-10-04,3,1,2
2023-10-05,7,4,0
2023-10-06,1,1,0
2023-10-07,7,4,1
2023-10-08,2,2,0
2023-10-09,4,2,1
2023-10-10,6,1,1
2023-10-11,2,0,2
2023-10-12,1,1,0
2023-10-13,8,3,4
2023-10-14,6,6,0
2023-10-15,2,1,0
2023-10-16,7,1,4
2023-10-17,4,2,1
2023-10-18,1,1,0
2023-10-19,8,6,1
2023-10-20,1,1,0
2023-10-21,3,1,0
2023-10-22,6,3,3
2023-10-23,8,6,1
2023-10-24,6,4,0
2023-10-25,7,1,0
2023-10-26,1,1,0
2023-10-27,0,0,0
2023-10-28,2,2,0
2023-10-29,3,1,1
2023-10-30,2,2,0
2023-10-31,6,5,0
2023-11-01,3,1,2
2023-11-02,6,0,1
2023-11-03,4,4,0
2023-11-04,7,7,0
2023-11-05,3,0,2
2023-11-06,2,2,0
2023-11-07,8,7,1
2023-11-08,6,2,3
2023-11-09,2,2,0
2023-11-10,7,4,1
2023-11-11,7,6,1
2023-11-12,4,1,3
2023-11-13,1,0,1
2023-11-14,2,2,0
2023-11-15,6,4,2
2023-11-16,7,1,2
2023-11-17,1,0,1
2023-11-18,6,2,1
2023-11-19,7,1,0
2023-11-20,8,3,3
2023-11-21,8,4,0
2023-11-22,3,3,0
2023-11-23,6,5,0
2023-11-24,3,2,1
2023-11-25,6,1,5
2023-11-26,6,5,1
2023-11-27,0,0,0
2023-11-28,0,0,0
2023-11-29,8,1,3
2023-11-30,3,2,1
2023-12-01,1,1,0
2023-12-02,7,6,1
2023-12-03,6,0,6
2023-12-04,8,8,0
2023-12-05,7,7,0
2023-12-06,8,5,0
2023-12-07,3,0,2
2023-12-08,8,6,0
2023-12-09,6,2,2
2023-12-10,3,2,0
2023-12-11,8,1,4
2023-12-12,4,4,0
2023-12-13,4,2,2
2023-12-14,1,1,0
2023-12-15,6,5,0
2023-12-16,6,4,0
2023-12-17,7,1,4
2023-12-18,4,2,1
2023-12-19,6,3,3
2023-12-20,7,7,0
2023-12-21,6,4,0
2023-12-22,2,0,2
2023-12-23,2,2,0
2023-12-24,1,0,0
2023-12-25,6,2,4
2023-12-26,0,0,0
2023-12-27,4,0,2
2023-12-28,6,6,0
2023-12-29,4,2,0
2023-12-30,8,4,0
2023-12-31,2,2,0
