created_date,quantity,positive,negative
2023-05-30,7,4,0
2023-05-31,7,5,2
2023-06-01,10,1,4
2023-06-02,9,4,0
2023-06-03,7,1,2
2023-06-04,8,1,6
2023-06-05,7,7,0
2023-06-06,0,0,0
2023-06-07,5,0,1
2023-06-08,8,5,3
2023-06-09,6,4,0
2023-06-10,7,7,0
2023-06-11,0,0,0
2023-06-12,11,0,1
2023-06-13,7,4,3
2023-06-14,7,6,1
2023-06-15,12,9,0
2023-06-16,8,2,1
2023-06-17,7,5,1
2023-06-18,7,0,5
2023-06-19,11,2,6
2023-06-20,6,1,3
2023-06-21,9,8,1
2023-06-22,6,0,3
2023-06-23,6,4,1
2023-06-24,8,6,0
2023-06-25,10,6,0
2023-06-26,8,4,1
2023-06-27,9,9,0
2023-06-28,12,4,4
2023-06-29,4,4,0
2023-06-30,13,2,2
2023-07-01,8,0,1
2023-07-02,1,1,0
2023-07-03,7,7,0
2023-07-04,7,4,2
2023-07-05,6,5,1
2023-07-06,7,2,0
2023-07-07,7,1,5
2023-07-08,9,9,0
2023-07-09,0,0,0
2023-07-10,0,0,0
2023-07-11,5,3,0
2023-07-12,6,4,2
2023-07-13,6,6,0
2023-07-14,7,0,5
2023-07-15,9,6,1
2023-07-16,10,2,2
2023-07-17,10,3,6
2023-07-18,8,2,6
2023-07-19,8,7,1
2023-07-20,6,6,0
2023-07-21,13,1,5
2023-07-22,11,1,3
2023-07-23,6,3,1
2023-07-24,9,3,1
2023-07-25,13,10,3
2023-07-26,12,10,0
2023-07-27,12,8,2
2023-07-28,6,6,0
2023-07-29,12,1,0
2023-07-30,8,2,3
2023-07-31,10,9,1
2023-08-01,10,4,5
2023-08-02,6,5,0
2023-08-03,7,4,1
2023-08-04,9,2,2
2023-08-05,11,5,3
2023-08-06,8,7,0
2023-08-07,12,8,3
2023-08-08,7,2,1
2023-08-09,7,7,0
2023-08-10,13,3,4
2023-08-11,11,10,1
2023-08-12,9,3,1
2023-08-13,7,7,0
2023-08-14,10,9,0
2023-08-15,3,3,0
2023-08-16,13,13,0
2023-08-17,11,7,2
2023-08-18,7,5,1
2023-08-19,7,7,0
2023-08-20,13,9,1
2023-08-21,6,5,0
2023-08-22,9,6,1
2023-08-23,12,6,0
2023-08-24,6,5,0
2023-08-25,10,0,8
2023-08-26,11,3,4
2023-08-27,9,6,0
2023-08-28,12,11,0
2023-08-29,11,3,3
2023-08-30,8,0,8
2023-08-31,7,3,0
2023-09-01,12,3,0
2023-09-02,7,6,0
2023-09-03,7,0,6
2023-09-04,8,1,5
2023-09-05,8,6,0
2023-09-06,6,2,4
2023-09-07,10,1,2
2023-09-08,13,12,1
2023-09-09,9,8,0
2023-09-10,9,8,1
2023-09-11,7,5,1
2023-09-12,7,3,3
2023-09-13,7,5,0
2023-09-14,8,2,5
2023-09-15,10,6,2
2023-09-16,7,4,3
2023-09-17,9,3,2
2023-09-18,9,4,3
2023-09-19,8,8,0
2023-09-20,1,1,0
2023-09-21,6,6,0
2023-09-22,13,9,0
2023-09-23,7,5,0
2023-09-24,8,2,0
2023-09-25,6,1,4
2023-09-26,10,8,2
2023-09-27,4,3,0
2023-09-28,8,1,0
2023-09-29,6,3,3
2023-09-30,6,0,2
2023-10-01,7,4,3
2023-10-02,6,4,2
2023-10-03,7,0,3
2023-10-04,8,0,3
2023-10-05,11,0,0
2023-10-06,10,6,3
2023-10-07,6,3,2
2023-10-08,10,0,3
2023-10-09,8,1,0
2023-10-10,12,9,0
2023-10-11,10,7,1
2023-10-12,8,7,1
2023-10-13,6,2,1
2023-10-14,7,4,2
2023-10-15,6,6,0
2023-10-16,6,4,1
2023-10-17,11,5,0
2023-10-18,8,6,1
2023-10-19,7,7,0
2023-10-20,13,9,0
2023-10-21,8,7,0
2023-10-22,11,11,0
2023-10-23,6,1,0
2023-10-24,7,5,2
2023-10-25,8,4,2
2023-10-26,6,6,0
2023-10-27,4,4,0
2023-10-28,2,2,0
2023-10-29,13,8,3
2023-10-30,12,2,0
2023-10-31,8,1,6
2023-11-01,7,0,3
2023-11-02,8,1,7
2023-11-03,6,1,1
2023-11-04,7,7,0
2023-11-05,13,6,3
2023-11-06,6,3,2
2023-11-07,11,10,0
2023-11-08,7,7,0
2023-11-09,10,3,0
2023-11-10,7,2,0
2023-11-11,10,9,1
2023-11-12,6,6,0
2023-11-13,8,5,1
2023-11-14,12,4,4
2023-11-15,7,0,4
2023-11-16,6,1,1
2023-11-17,6,3,3
2023-11-18,7,7,0
2023-11-19,11,3,7
2023-11-20,6,2,0
2023-11-21,6,6,0
2023-11-22,13,5,1
2023-11-23,10,0,8
2023-11-24,9,2,3
2023-11-25,6,1,4
2023-11-26,6,0,2
2023-11-27,11,2,6
2023-11-28,10,6,0
2023-11-29,7,5,0
2023-11-30,12,5,0
2023-12-01,4,4,0
2023-12-02,5,3,1
2023-12-03,0,0,0
2023-12-04,7,5,2
2023-12-05,6,1,0
2023-12-06,7,1,1
2023-12-07,9,8,0
2023-12-08,7,6,0
2023-12-09,6,6,0
2023-12-10,8,3,1
2023-12-11,6,2,4
2023-12-12,8,6,1
2023-12-13,7,0,3
2023-12-14,8,8,0
2023-12-15,9,8,0
2023-12-16,8,7,1
2023-12-17,11,4,5
2023-12-18,7,6,0
2023-12-19,4,0,2
2023-12-20,6,2,0
2023-12-21,6,4,2
2023-12-22,8,6,0
2023-12-23,8,5,3
2023-12-24,5,5,0
2023-12-25,12,11,0
2023-12-26,3,2,0
2023-12-27,7,1,4
2023-12-28,3,1,0
2023-12-29,7,5,1
2023-12-30,6,1,5
2023-12-31,1,0,0
