created_date,quantity,positive,negative
2023-05-30,7,6,1
2023-05-31,7,0,0
2023-06-01,10,7,1
2023-06-02,9,4,4
2023-06-03,7,6,0
2023-06-04,2,1,1
2023-06-05,1,0,0
2023-06-06,5,5,0
2023-06-07,5,2,1
2023-06-08,8,4,0
2023-06-09,6,3,1
2023-06-10,7,7,0
2023-06-11,13,6,5
2023-06-12,11,5,4
2023-06-13,7,6,1
2023-06-14,7,2,1
2023-06-15,4,0,0
2023-06-16,8,5,2
2023-06-17,7,7,0
2023-06-18,7,1,1
2023-06-19,11,7,0
2023-06-20,6,5,1
2023-06-21,9,4,4
2023-06-22,1,1,0
2023-06-23,6,1,0
2023-06-24,8,5,1
2023-06-25,10,9,1
2023-06-26,8,5,2
2023-06-27,2,2,0
2023-06-28,12,10,0
2023-06-29,4,3,0
2023-06-30,2,2,0
2023-07-01,3,3,0
2023-07-02,1,1,0
2023-07-03,7,6,1
2023-07-04,1,0,0
2023-07-05,4,2,0
2023-07-06,3,2,0
2023-07-07,7,5,1
2023-07-08,9,5,0
2023-07-09,7,2,1
2023-07-10,2,2,0
2023-07-11,4,3,0
2023-07-12,5,4,1
2023-07-13,6,3,1
2023-07-14,3,2,1
2023-07-15,2,2,0
2023-07-16,10,5,2
2023-07-17,4,0,0
2023-07-18,8,0,0
2023-07-19,8,2,2
2023-07-20,6,6,0
2023-07-21,13,7,5
2023-07-22,5,5,0
2023-07-23,4,2,2
2023-07-24,9,7,2
2023-07-25,13,7,0
2023-07-26,12,6,1
2023-07-27,12,3,3
2023-07-28,5,5,0
2023-07-29,12,7,4
2023-07-30,1,1,0
2023-07-31,10,0,0
2023-08-01,1,0,0
2023-08-02,2,1,0
2023-08-03,7,2,0
2023-08-04,1,0,0
2023-08-05,3,1,0
2023-08-06,3,3,0
2023-08-07,12,2,2
2023-08-08,2,2,0
2023-08-09,7,3,1
2023-08-10,2,2,0
2023-08-11,11,7,0
2023-08-12,9,7,0
2023-08-13,7,0,0
2023-08-14,3,1,1
2023-08-15,3,3,0
2023-08-16,13,1,1
2023-08-17,11,6,1
2023-08-18,5,4,1
2023-08-19,5,3,2
2023-08-20,1,0,0
2023-08-21,6,4,0
2023-08-22,4,2,2
2023-08-23,2,0,0
2023-08-24,4,3,1
2023-08-25,1,0,0
2023-08-26,1,1,0
2023-08-27,9,6,2
2023-08-28,12,2,2
2023-08-29,4,3,0
2023-08-30,8,1,1
2023-08-31,7,5,2
2023-09-01,12,7,2
2023-09-02,5,2,2
2023-09-03,7,3,1
2023-09-04,1,1,0
2023-09-05,8,3,3
2023-09-06,6,0,0
2023-09-07,10,7,0
2023-09-08,2,2,0
2023-09-09,9,2,0
2023-09-10,5,2,2
2023-09-11,1,1,0
2023-09-12,4,3,1
2023-09-13,2,2,0
2023-09-14,8,1,1
2023-09-15,10,0,0
2023-09-16,7,7,0
2023-09-17,4,4,0
