created_date,quantity,positive,negative
2023-09-15,8,3,5
2023-09-16,6,6,0
2023-09-17,10,4,6
2023-09-18,12,11,0
2023-09-19,12,3,2
2023-09-20,6,6,0
2023-09-21,9,2,0
2023-09-22,14,5,2
2023-09-23,1,1,0
2023-09-24,6,2,4
2023-09-25,13,9,0
2023-09-26,8,3,1
2023-09-27,7,0,3
2023-09-28,8,3,4
2023-09-29,9,7,2
2023-09-30,6,6,0
2023-10-01,8,8,0
2023-10-02,11,5,6
2023-10-03,6,0,3
2023-10-04,12,6,1
2023-10-05,8,7,1
2023-10-06,0,0,0
2023-10-07,6,1,3
2023-10-08,7,6,0
2023-10-09,11,9,0
2023-10-10,8,0,4
2023-10-11,7,4,1
2023-10-12,5,5,0
2023-10-13,7,4,1
2023-10-14,8,5,0
2023-10-15,11,0,3
2023-10-16,11,10,0
2023-10-17,13,9,1
2023-10-18,9,2,2
2023-10-19,6,6,0
2023-10-20,7,5,0
2023-10-21,12,11,1
2023-10-22,5,5,0
2023-10-23,11,5,4
2023-10-24,12,2,4
2023-10-25,11,9,0
2023-10-26,11,3,7
2023-10-27,8,1,3
2023-10-28,6,6,0
2023-10-29,13,6,5
2023-10-30,6,2,1
2023-10-31,6,2,3
2023-11-01,7,3,0
2023-11-02,6,1,3
2023-11-03,7,1,3
2023-11-04,6,6,0
2023-11-05,10,3,0
2023-11-06,11,2,3
2023-11-07,8,4,2
2023-11-08,11,4,1
2023-11-09,14,3,1
2023-11-10,14,2,9
2023-11-11,8,5,1
2023-11-12,9,8,1
2023-11-13,6,0,0
2023-11-14,8,0,0
2023-11-15,8,8,0
2023-11-16,7,6,1
2023-11-17,7,7,0
2023-11-18,7,7,0
2023-11-19,7,7,0
2023-11-20,13,0,1
2023-11-21,7,7,0
2023-11-22,6,6,0
2023-11-23,5,4,1
2023-11-24,8,3,2
2023-11-25,9,9,0
2023-11-26,12,4,8
2023-11-27,6,6,0
2023-11-28,10,2,0
2023-11-29,13,3,5
2023-11-30,14,4,6
2023-12-01,7,7,0
2023-12-02,7,2,0
2023-12-03,7,7,0
2023-12-04,7,0,5
2023-12-05,5,3,0
2023-12-06,8,7,1
2023-12-07,13,11,0
2023-12-08,7,1,2
2023-12-09,0,0,0
2023-12-10,2,2,0
2023-12-11,1,1,0
2023-12-12,10,2,4
2023-12-13,3,3,0
2023-12-14,7,5,1
2023-12-15,9,0,0
2023-12-16,7,6,0
2023-12-17,6,4,2
2023-12-18,10,7,2
2023-12-19,6,6,0
2023-12-20,6,0,4
2023-12-21,6,1,4
2023-12-22,7,7,0
2023-12-23,8,5,0
2023-12-24,6,0,6
2023-12-25,9,2,2
2023-12-26,9,5,4
2023-12-27,12,10,0
2023-12-28,10,1,0
2023-12-29,0,0,0
2023-12-30,7,3,2
2023-12-31,6,5,1
2024-01-01,12,2,1
2024-01-02,8,6,1
2024-01-03,12,6,1
2024-01-04,8,0,1
2024-01-05,8,6,2
2024-01-06,6,3,1
2024-01-07,7,7,0
2024-01-08,11,4,3
2024-01-09,7,3,2
2024-01-10,6,1,3
2024-01-11,6,6,0
2024-01-12,13,2,1
2024-01-13,13,7,0
2024-01-14,10,6,1
2024-01-15,13,6,2
2024-01-16,7,4,2
2024-01-17,8,4,4
2024-01-18,8,0,5
2024-01-19,7,5,0
2024-01-20,6,6,0
2024-01-21,7,0,1
2024-01-22,6,6,0
2024-01-23,7,5,2
2024-01-24,6,4,1
2024-01-25,8,3,0
2024-01-26,5,4,1
2024-01-27,8,0,2
2024-01-28,9,9,0
2024-01-29,9,0,0
2024-01-30,14,4,6
2024-01-31,6,0,0
2024-02-01,8,4,4
2024-02-02,7,2,3
2024-02-03,8,6,0
2024-02-04,6,1,5
2024-02-05,11,10,1
2024-02-06,8,7,1
2024-02-07,0,0,0
2024-02-08,12,3,8
2024-02-09,11,3,7
2024-02-10,7,7,0
2024-02-11,11,3,6
2024-02-12,8,5,0
2024-02-13,9,4,5
2024-02-14,9,8,0
2024-02-15,6,3,3
2024-02-16,6,2,4
2024-02-17,10,3,2
2024-02-18,13,6,1
2024-02-19,8,4,1
2024-02-20,6,0,3
2024-02-21,7,6,1
2024-02-22,6,3,1
2024-02-23,12,9,2
2024-02-24,12,10,0
2024-02-25,7,5,1
2024-02-26,8,5,0
2024-02-27,10,7,1
2024-02-28,8,2,2
2024-02-29,7,2,3
2024-03-01,6,4,1
2024-03-02,6,1,4
2024-03-03,12,12,0
2024-03-04,10,4,3
2024-03-05,5,5,0
2024-03-06,7,0,1
2024-03-07,8,8,0
2024-03-08,2,2,0
2024-03-09,7,2,3
2024-03-10,7,2,4
2024-03-11,10,8,0
2024-03-12,6,4,1
2024-03-13,7,7,0
2024-03-14,12,9,0
2024-03-15,11,9,0
2024-03-16,0,0,0
2024-03-17,12,9,2
2024-03-18,13,4,1
2024-03-19,6,2,0
2024-03-20,8,5,2
2024-03-21,6,1,0
2024-03-22,8,5,0
2024-03-23,8,1,7
2024-03-24,12,1,5
2024-03-25,11,0,6
2024-03-26,7,6,0
2024-03-27,7,2,4
2024-03-28,7,1,4
2024-03-29,9,8,0
2024-03-30,7,5,0
2024-03-31,0,0,0
2024-04-01,8,8,0
2024-04-02,4,4,0
2024-04-03,7,5,0
2024-04-04,6,6,0
2024-04-05,9,6,3
2024-04-06,8,1,6
2024-04-07,6,6,0
2024-04-08,7,7,0
2024-04-09,0,0,0
2024-04-10,11,3,7
2024-04-11,0,0,0
2024-04-12,5,5,0
2024-04-13,8,8,0
2024-04-14,7,0,2
2024-04-15,7,2,0
2024-04-16,0,0,0
2024-04-17,6,0,0
