created_date,quantity,positive,negative
2023-09-15,8,3,0
2023-09-16,0,0,0
2023-09-17,7,6,1
2023-09-18,7,0,5
2023-09-19,7,1,2
2023-09-20,6,4,2
2023-09-21,0,0,0
2023-09-22,1,1,0
2023-09-23,6,0,6
2023-09-24,6,3,1
2023-09-25,1,1,0
2023-09-26,3,2,1
2023-09-27,6,2,2
2023-09-28,8,8,0
2023-09-29,1,1,0
2023-09-30,7,6,1
2023-10-01,8,3,2
2023-10-02,6,3,1
2023-10-03,2,0,0
2023-10-04,6,3,1
2023-10-05,6,1,5
2023-10-06,7,2,4
2023-10-07,7,5,2
2023-10-08,8,5,0
2023-10-09,4,1,1
2023-10-10,7,7,0
2023-10-11,7,3,2
2023-10-12,8,6,2
2023-10-13,0,0,0
2023-10-14,0,0,0
2023-10-15,8,5,3
2023-10-16,7,1,4
2023-10-17,6,3,0
2023-10-18,7,7,0
2023-10-19,6,2,4
2023-10-20,3,2,1
2023-10-21,0,0,0
2023-10-22,6,4,2
2023-10-23,2,1,0
2023-10-24,0,0,0
2023-10-25,6,0,4
2023-10-26,7,5,0
2023-10-27,4,3,1
2023-10-28,8,8,0
2023-10-29,6,0,4
2023-10-30,8,3,1
2023-10-31,7,5,2
2023-11-01,4,4,0
2023-11-02,8,2,1
2023-11-03,6,4,2
2023-11-04,1,0,0
2023-11-05,7,2,1
2023-11-06,2,0,2
2023-11-07,2,2,0
2023-11-08,1,1,0
2023-11-09,7,7,0
2023-11-10,2,0,2
2023-11-11,1,1,0
2023-11-12,7,4,3
2023-11-13,1,1,0
2023-11-14,3,3,0
2023-11-15,4,1,0
2023-11-16,0,0,0
2023-11-17,6,0,3
2023-11-18,2,2,0
2023-11-19,7,7,0
2023-11-20,7,2,0
2023-11-21,6,0,4
2023-11-22,7,4,3
2023-11-23,4,2,0
2023-11-24,8,8,0
2023-11-25,6,5,0
2023-11-26,1,1,0
2023-11-27,8,3,0
2023-11-28,2,2,0
2023-11-29,6,0,4
2023-11-30,6,0,3
2023-12-01,1,1,0
2023-12-02,3,1,0
2023-12-03,7,7,0
2023-12-04,2,1,1
2023-12-05,0,0,0
2023-12-06,8,2,3
2023-12-07,8,6,0
2023-12-08,7,5,0
2023-12-09,8,7,1
2023-12-10,1,0,1
2023-12-11,8,0,4
2023-12-12,4,2,2
2023-12-13,7,4,2
2023-12-14,8,8,0
2023-12-15,6,5,0
2023-12-16,7,5,2
2023-12-17,6,0,2
2023-12-18,3,2,1
2023-12-19,2,2,0
2023-12-20,7,5,1
2023-12-21,8,2,4
2023-12-22,4,0,2
2023-12-23,7,3,3
2023-12-24,1,1,0
2023-12-25,8,2,3
2023-12-26,7,3,2
2023-12-27,6,5,0
2023-12-28,0,0,0
2023-12-29,8,1,2
2023-12-30,8,7,0
2023-12-31,6,0,4
2024-01-01,7,3,2
2024-01-02,7,5,0
2024-01-03,6,3,2
2024-01-04,6,3,3
2024-01-05,8,2,5
2024-01-06,7,3,2
2024-01-07,6,3,3
2024-01-08,1,1,0
2024-01-09,6,6,0
2024-01-10,8,1,5
2024-01-11,6,0,0
2024-01-12,2,0,1
2024-01-13,8,6,1
2024-01-14,8,2,1
2024-01-15,1,0,0
2024-01-16,8,8,0
2024-01-17,0,0,0
2024-01-18,6,6,0
2024-01-19,7,6,1
2024-01-20,1,0,0
2024-01-21,6,5,1
2024-01-22,7,3,2
2024-01-23,6,5,0
2024-01-24,1,0,0
2024-01-25,7,7,0
2024-01-26,6,4,2
2024-01-27,8,0,7
2024-01-28,2,2,0
2024-01-29,8,0,1
2024-01-30,2,2,0
2024-01-31,8,7,0
2024-02-01,7,6,1
2024-02-02,6,2,3
2024-02-03,0,0,0
2024-02-04,4,4,0
2024-02-05,7,3,4
2024-02-06,7,0,6
2024-02-07,6,0,1
2024-02-08,7,1,1
2024-02-09,6,5,1
2024-02-10,6,3,1
2024-02-11,2,2,0
2024-02-12,2,1,1
2024-02-13,3,1,0
2024-02-14,2,2,0
2024-02-15,8,0,2
2024-02-16,2,2,0
2024-02-17,1,0,0
2024-02-18,6,5,0
2024-02-19,1,1,0
2024-02-20,1,1,0
2024-02-21,1,1,0
2024-02-22,7,6,0
2024-02-23,8,5,2
2024-02-24,1,1,0
2024-02-25,8,0,4
2024-02-26,8,4,4
2024-02-27,8,1,3
2024-02-28,6,4,2
2024-02-29,6,5,1
2024-03-01,3,2,0
2024-03-02,1,1,0
2024-03-03,6,5,0
2024-03-04,8,5,1
2024-03-05,6,2,0
2024-03-06,8,3,5
2024-03-07,6,1,4
2024-03-08,1,1,0
2024-03-09,8,4,4
2024-03-10,3,1,1
2024-03-11,1,0,0
2024-03-12,2,1,0
2024-03-13,0,0,0
2024-03-14,2,2,0
2024-03-15,0,0,0
2024-03-16,1,1,0
2024-03-17,6,4,2
2024-03-18,7,0,4
2024-03-19,2,2,0
2024-03-20,1,1,0
2024-03-21,1,1,0
2024-03-22,8,1,3
2024-03-23,7,6,1
2024-03-24,1,1,0
2024-03-25,8,0,6
2024-03-26,1,1,0
2024-03-27,0,0,0
2024-03-28,1,0,0
2024-03-29,3,0,1
2024-03-30,2,0,1
2024-03-31,7,4,2
2024-04-01,4,0,0
2024-04-02,1,1,0
2024-04-03,4,4,0
2024-04-04,1,0,1
2024-04-05,7,4,3
2024-04-06,3,0,3
2024-04-07,7,7,0
2024-04-08,1,1,0
2024-04-09,8,0,0
2024-04-10,8,6,0
2024-04-11,6,3,0
2024-04-12,6,4,0
2024-04-13,2,1,1
2024-04-14,2,2,0
2024-04-15,3,2,1
2024-04-16,2,1,0
2024-04-17,7,5,2
