created_date,quantity,positive,negative
2024-01-01,8,0,4
2024-01-02,6,6,0
2024-01-03,6,0,2
2024-01-04,1,1,0
2024-01-05,0,0,0
2024-01-06,2,2,0
2024-01-07,8,7,0
2024-01-08,6,4,0
2024-01-09,3,0,3
2024-01-10,8,3,0
2024-01-11,8,7,1
2024-01-12,0,0,0
2024-01-13,4,3,1
2024-01-14,7,6,1
2024-01-15,1,0,1
2024-01-16,6,6,0
2024-01-17,4,1,0
2024-01-18,8,1,3
2024-01-19,6,1,1
2024-01-20,3,3,0
2024-01-21,2,1,0
2024-01-22,3,3,0
2024-01-23,3,0,2
2024-01-24,0,0,0
2024-01-25,6,3,1
2024-01-26,8,8,0
2024-01-27,1,0,0
2024-01-28,2,2,0
2024-01-29,4,4,0
2024-01-30,4,0,3
2024-01-31,8,7,0
2024-02-01,6,3,2
2024-02-02,7,6,1
2024-02-03,8,8,0
2024-02-04,8,3,5
2024-02-05,7,4,0
2024-02-06,7,0,3
2024-02-07,7,0,5
2024-02-08,7,3,2
2024-02-09,8,3,2
2024-02-10,2,1,0
2024-02-11,2,2,0
2024-02-12,8,1,4
2024-02-13,3,1,1
2024-02-14,3,3,0
2024-02-15,0,0,0
2024-02-16,2,0,0
2024-02-17,7,5,1
2024-02-18,3,0,0
2024-02-19,2,1,0
2024-02-20,7,1,4
2024-02-21,7,3,3
2024-02-22,6,4,0
2024-02-23,4,2,2
2024-02-24,0,0,0
2024-02-25,2,2,0
2024-02-26,8,6,0
2024-02-27,0,0,0
2024-02-28,7,0,2
2024-02-29,2,1,1
2024-03-01,1,1,0
2024-03-02,7,5,2
2024-03-03,7,0,1
2024-03-04,6,1,2
2024-03-05,6,6,0
2024-03-06,1,0,0
2024-03-07,4,1,2
2024-03-08,3,2,1
2024-03-09,1,1,0
2024-03-10,8,8,0
2024-03-11,6,2,3
2024-03-12,8,8,0
2024-03-13,7,6,1
2024-03-14,8,7,0
2024-03-15,6,4,2
2024-03-16,1,0,0
2024-03-17,0,0,0
2024-03-18,2,1,0
2024-03-19,3,0,3
2024-03-20,6,5,0
2024-03-21,6,6,0
2024-03-22,6,1,2
2024-03-23,8,5,3
2024-03-24,2,2,0
2024-03-25,7,5,2
2024-03-26,8,0,7
2024-03-27,3,1,1
2024-03-28,1,0,0
2024-03-29,1,1,0
2024-03-30,3,3,0
2024-03-31,1,1,0
2024-04-01,1,1,0
2024-04-02,6,2,1
2024-04-03,6,4,1
2024-04-04,6,5,1
2024-04-05,1,1,0
2024-04-06,8,1,0
2024-04-07,4,0,0
2024-04-08,7,2,0
2024-04-09,8,2,2
2024-04-10,6,2,1
2024-04-11,8,1,5
2024-04-12,1,0,0
2024-04-13,1,1,0
2024-04-14,3,1,0
2024-04-15,8,4,0
2024-04-16,3,1,1
2024-04-17,7,2,2
2024-04-18,8,4,0
2024-04-19,7,5,1
2024-04-20,6,1,2
2024-04-21,7,1,6
2024-04-22,7,2,2
2024-04-23,4,1,0
2024-04-24,4,0,4
2024-04-25,3,3,0
2024-04-26,7,6,0
2024-04-27,0,0,0
2024-04-28,1,0,1
2024-04-29,4,1,3
2024-04-30,8,7,1
