created_date,quantity,positive,negative
2023-09-15,8,7,0
2023-09-16,8,0,4
2023-09-17,6,6,0
2023-09-18,6,0,2
2023-09-19,1,1,0
2023-09-20,0,0,0
2023-09-21,2,2,0
2023-09-22,8,7,0
2023-09-23,6,4,0
2023-09-24,3,0,3
2023-09-25,8,3,0
2023-09-26,8,7,1
2023-09-27,0,0,0
2023-09-28,4,3,1
2023-09-29,7,6,1
2023-09-30,1,0,1
2023-10-01,6,6,0
2023-10-02,4,1,0
2023-10-03,8,1,3
2023-10-04,6,1,1
2023-10-05,3,3,0
2023-10-06,2,1,0
2023-10-07,3,3,0
2023-10-08,3,0,2
2023-10-09,0,0,0
2023-10-10,6,3,1
2023-10-11,8,8,0
2023-10-12,1,0,0
2023-10-13,2,2,0
2023-10-14,4,4,0
2023-10-15,4,0,3
2023-10-16,6,3,2
2023-10-17,7,6,1
2023-10-18,8,8,0
2023-10-19,8,3,5
2023-10-20,7,4,0
2023-10-21,7,0,3
2023-10-22,7,0,5
2023-10-23,7,3,2
2023-10-24,8,3,2
2023-10-25,2,1,0
2023-10-26,2,2,0
2023-10-27,8,1,4
2023-10-28,3,1,1
2023-10-29,3,3,0
2023-10-30,0,0,0
2023-10-31,2,0,0
2023-11-01,7,5,1
2023-11-02,3,0,0
2023-11-03,2,1,0
2023-11-04,7,1,4
2023-11-05,7,3,3
2023-11-06,6,4,0
2023-11-07,4,2,2
2023-11-08,0,0,0
2023-11-09,2,2,0
2023-11-10,8,6,0
2023-11-11,0,0,0
2023-11-12,7,0,2
2023-11-13,2,1,1
2023-11-14,2,0,1
2023-11-15,6,6,0
2023-11-16,1,1,0
2023-11-17,7,5,2
2023-11-18,7,0,1
2023-11-19,6,1,2
2023-11-20,6,6,0
2023-11-21,1,0,0
2023-11-22,4,1,2
2023-11-23,3,2,1
2023-11-24,1,1,0
2023-11-25,8,8,0
2023-11-26,6,2,3
2023-11-27,8,8,0
2023-11-28,7,6,1
2023-11-29,8,7,0
2023-11-30,6,4,2
2023-12-01,1,0,0
2023-12-02,0,0,0
2023-12-03,2,1,0
2023-12-04,3,0,3
2023-12-05,6,5,0
2023-12-06,6,6,0
2023-12-07,6,1,2
2023-12-08,8,5,3
2023-12-09,2,2,0
2023-12-10,7,5,2
2023-12-11,8,0,7
2023-12-12,3,1,1
2023-12-13,1,0,0
2023-12-14,1,1,0
2023-12-15,3,3,0
2023-12-16,1,1,0
2023-12-17,6,2,1
2023-12-18,6,4,1
2023-12-19,6,5,1
2023-12-20,1,1,0
2023-12-21,8,1,0
2023-12-22,4,0,0
2023-12-23,7,2,0
2023-12-24,8,2,2
2023-12-25,6,2,1
2023-12-26,8,1,5
2023-12-27,1,0,0
2023-12-28,1,1,0
2023-12-29,3,1,0
2023-12-30,8,4,0
2023-12-31,3,1,1
2024-01-01,7,2,2
2024-01-02,8,4,0
2024-01-03,7,5,1
2024-01-04,6,1,2
2024-01-05,7,1,6
2024-01-06,7,2,2
2024-01-07,4,1,0
2024-01-08,4,0,4
2024-01-09,3,3,0
2024-01-10,7,6,0
2024-01-11,0,0,0
2024-01-12,1,0,1
2024-01-13,4,1,3
2024-01-14,8,7,1
2024-01-15,6,4,2
2024-01-16,2,2,0
2024-01-17,2,2,0
2024-01-18,8,7,0
2024-01-19,2,2,0
2024-01-20,3,1,2
2024-01-21,7,4,0
2024-01-22,1,1,0
2024-01-23,7,4,1
2024-01-24,2,2,0
2024-01-25,4,2,1
2024-01-26,6,1,1
2024-01-27,2,0,2
2024-01-28,1,1,0
2024-01-29,8,3,4
2024-01-30,6,6,0
2024-01-31,2,1,0
2024-02-01,7,1,4
